time,context,mean_forecast,quantile_0.1,quantile_0.2,quantile_0.3,quantile_0.4,quantile_0.5,quantile_0.6,quantile_0.7,quantile_0.8,quantile_0.9
690,449.0,,,,,,,,,,
691,649.0,,,,,,,,,,
692,542.0,,,,,,,,,,
693,577.0,,,,,,,,,,
694,763.0,,,,,,,,,,
695,983.0,,,,,,,,,,
696,1819.0,,,,,,,,,,
697,4572.0,,,,,,,,,,
698,6918.0,,,,,,,,,,
699,5336.0,,,,,,,,,,
700,6662.0,,,,,,,,,,
701,4894.0,,,,,,,,,,
702,3862.0,,,,,,,,,,
703,3113.0,,,,,,,,,,
704,2823.0,,,,,,,,,,
705,2336.0,,,,,,,,,,
706,2116.0,,,,,,,,,,
707,2609.0,,,,,,,,,,
708,3077.0,,,,,,,,,,
709,2805.0,,,,,,,,,,
710,2266.0,,,,,,,,,,
711,1901.0,,,,,,,,,,
712,1718.0,,,,,,,,,,
713,1083.0,,,,,,,,,,
714,971.0,,,,,,,,,,
715,960.0,,,,,,,,,,
716,761.0,,,,,,,,,,
717,576.0,,,,,,,,,,
718,459.0,,,,,,,,,,
719,451.0,,,,,,,,,,
720,355.0,,,,,,,,,,
721,254.0,,,,,,,,,,
722,304.0,,,,,,,,,,
723,262.0,,,,,,,,,,
724,256.0,,,,,,,,,,
725,255.0,,,,,,,,,,
726,99.0,,,,,,,,,,
727,130.0,,,,,,,,,,
728,142.0,,,,,,,,,,
729,130.0,,,,,,,,,,
730,92.0,,,,,,,,,,
731,89.0,,,,,,,,,,
732,122.0,,,,,,,,,,
733,126.0,,,,,,,,,,
734,160.0,,,,,,,,,,
735,171.0,,,,,,,,,,
736,308.0,,,,,,,,,,
737,390.0,,,,,,,,,,
738,296.0,,,,,,,,,,
739,430.0,,,,,,,,,,
740,502.0,,,,,,,,,,
741,562.0,,,,,,,,,,
742,564.0,,,,,,,,,,
743,604.0,,,,,,,,,,
744,705.0,,,,,,,,,,
745,494.0,,,,,,,,,,
746,917.0,,,,,,,,,,
747,1127.0,,,,,,,,,,
748,1496.0,,,,,,,,,,
749,1701.0,,,,,,,,,,
750,1696.0,,,,,,,,,,
751,1126.0,,,,,,,,,,
752,1632.0,,,,,,,,,,
753,1770.0,,,,,,,,,,
754,2786.0,,,,,,,,,,
755,4434.0,,,,,,,,,,
756,7198.0,,,,,,,,,,
757,7422.0,,,,,,,,,,
758,6143.0,,,,,,,,,,
759,4204.0,,,,,,,,,,
760,2894.0,,,,,,,,,,
761,1863.0,,,,,,,,,,
762,1340.0,,,,,,,,,,
763,1015.0,,,,,,,,,,
764,686.0,,,,,,,,,,
765,720.0,,,,,,,,,,
766,605.0,,,,,,,,,,
767,588.0,,,,,,,,,,
768,455.0,,,,,,,,,,
769,366.0,,,,,,,,,,
770,326.0,,,,,,,,,,
771,462.0,,,,,,,,,,
772,428.0,,,,,,,,,,
773,279.0,,,,,,,,,,
774,342.0,,,,,,,,,,
775,368.0,,,,,,,,,,
776,228.0,,,,,,,,,,
777,234.0,,,,,,,,,,
778,168.0,,,,,,,,,,
779,215.0,,,,,,,,,,
780,182.0,,,,,,,,,,
781,217.0,,,,,,,,,,
782,153.0,,,,,,,,,,
783,125.0,,,,,,,,,,
784,147.0,,,,,,,,,,
785,218.0,,,,,,,,,,
786,134.0,,,,,,,,,,
787,264.0,,,,,,,,,,
788,450.0,,,,,,,,,,
789,546.0,,,,,,,,,,
790,686.0,,,,,,,,,,
791,785.0,,,,,,,,,,
792,830.0,,,,,,,,,,
793,707.0,,,,,,,,,,
794,793.0,,,,,,,,,,
795,1056.0,,,,,,,,,,
796,751.0,,,,,,,,,,
797,828.0,,,,,,,,,,
798,805.0,,,,,,,,,,
799,852.0,,,,,,,,,,
800,890.0,,,,,,,,,,
801,879.0,,,,,,,,,,
802,1122.0,,,,,,,,,,
803,467.0,,,,,,,,,,
804,882.0,,,,,,,,,,
805,1715.0,,,,,,,,,,
806,2856.0,,,,,,,,,,
807,5370.0,,,,,,,,,,
808,8847.0,,,,,,,,,,
809,9184.0,,,,,,,,,,
810,10900.0,,,,,,,,,,
811,,10445.9052734375,7349.5625,8593.05078125,9267.5419921875,9801.134765625,10445.9052734375,11104.0966796875,11784.8876953125,12802.6162109375,14574.1123046875
812,,8416.6650390625,5085.80859375,6305.6923828125,7112.916015625,7746.5029296875,8416.6650390625,9064.125,9680.1474609375,10570.4814453125,12083.556640625
813,,5903.35205078125,3913.44775390625,4616.861328125,5105.53955078125,5481.46240234375,5903.35205078125,6404.326171875,6897.90966796875,7445.572265625,8421.15625
814,,3694.264404296875,2065.1845703125,2573.0751953125,2981.04248046875,3339.2578125,3694.264404296875,4105.19873046875,4594.9052734375,5210.21826171875,6203.2333984375
815,,2194.74365234375,1169.432373046875,1477.0028076171875,1715.703125,1939.611572265625,2194.74365234375,2500.59033203125,2889.477783203125,3380.707275390625,4187.24169921875
816,,1467.998779296875,748.2174072265625,959.7725830078125,1121.38623046875,1284.718017578125,1467.998779296875,1677.46826171875,1945.666259765625,2308.75537109375,2888.017333984375
