time,context,mean_forecast,quantile_0.1,quantile_0.2,quantile_0.3,quantile_0.4,quantile_0.5,quantile_0.6,quantile_0.7,quantile_0.8,quantile_0.9
554,558.0,,,,,,,,,,
555,646.0,,,,,,,,,,
556,601.0,,,,,,,,,,
557,501.0,,,,,,,,,,
558,290.0,,,,,,,,,,
559,110.0,,,,,,,,,,
560,,,,,,,,,,,
561,,,,,,,,,,,
562,,,,,,,,,,,
563,,,,,,,,,,,
564,,,,,,,,,,,
565,,,,,,,,,,,
566,,,,,,,,,,,
567,,,,,,,,,,,
568,,,,,,,,,,,
569,,,,,,,,,,,
570,,,,,,,,,,,
571,,,,,,,,,,,
572,,,,,,,,,,,
573,,,,,,,,,,,
574,,,,,,,,,,,
575,,,,,,,,,,,
576,,,,,,,,,,,
577,,,,,,,,,,,
578,,,,,,,,,,,
579,,,,,,,,,,,
580,,,,,,,,,,,
581,,,,,,,,,,,
582,,,,,,,,,,,
583,,,,,,,,,,,
584,,,,,,,,,,,
585,,,,,,,,,,,
586,112.0,,,,,,,,,,
587,79.0,,,,,,,,,,
588,199.0,,,,,,,,,,
589,150.0,,,,,,,,,,
590,159.0,,,,,,,,,,
591,209.0,,,,,,,,,,
592,247.0,,,,,,,,,,
593,190.0,,,,,,,,,,
594,152.0,,,,,,,,,,
595,141.0,,,,,,,,,,
596,112.0,,,,,,,,,,
597,,,,,,,,,,,
598,,,,,,,,,,,
599,,,,,,,,,,,
600,59.0,,,,,,,,,,
601,86.0,,,,,,,,,,
602,92.0,,,,,,,,,,
603,87.0,,,,,,,,,,
604,49.0,,,,,,,,,,
605,83.0,,,,,,,,,,
606,96.0,,,,,,,,,,
607,127.0,,,,,,,,,,
608,151.0,,,,,,,,,,
609,190.0,,,,,,,,,,
610,79.0,,,,,,,,,,
611,76.0,,,,,,,,,,
612,,,,,,,,,,,
613,,,,,,,,,,,
614,,,,,,,,,,,
615,,,,,,,,,,,
616,,,,,,,,,,,
617,,,,,,,,,,,
618,,,,,,,,,,,
619,,,,,,,,,,,
620,,,,,,,,,,,
621,,,,,,,,,,,
622,,,,,,,,,,,
623,,,,,,,,,,,
624,,,,,,,,,,,
625,,,,,,,,,,,
626,,,,,,,,,,,
627,,,,,,,,,,,
628,,,,,,,,,,,
629,,,,,,,,,,,
630,,,,,,,,,,,
631,,,,,,,,,,,
632,,,,,,,,,,,
633,,,,,,,,,,,
634,,,,,,,,,,,
635,,,,,,,,,,,
636,,,,,,,,,,,
637,,,,,,,,,,,
638,,,,,,,,,,,
639,166.0,,,,,,,,,,
640,303.0,,,,,,,,,,
641,653.0,,,,,,,,,,
642,328.0,,,,,,,,,,
643,494.0,,,,,,,,,,
644,453.0,,,,,,,,,,
645,467.0,,,,,,,,,,
646,417.0,,,,,,,,,,
647,328.0,,,,,,,,,,
648,304.0,,,,,,,,,,
649,595.0,,,,,,,,,,
650,123.0,,,,,,,,,,
651,109.0,,,,,,,,,,
652,266.0,,,,,,,,,,
653,404.0,,,,,,,,,,
654,355.0,,,,,,,,,,
655,393.0,,,,,,,,,,
656,405.0,,,,,,,,,,
657,331.0,,,,,,,,,,
658,375.0,,,,,,,,,,
659,206.0,,,,,,,,,,
660,332.0,,,,,,,,,,
661,,,,,,,,,,,
662,426.0,,,,,,,,,,
663,510.0,,,,,,,,,,
664,272.0,,,,,,,,,,
665,356.0,,,,,,,,,,
666,87.0,,,,,,,,,,
667,,,,,,,,,,,
668,,,,,,,,,,,
669,,,,,,,,,,,
670,,,,,,,,,,,
671,,,,,,,,,,,
672,,,,,,,,,,,
673,,,,,,,,,,,
674,,,,,,,,,,,
675,,,,,,,,,,,
676,,,,,,,,,,,
677,,,,,,,,,,,
678,,,,,,,,,,,
679,,,,,,,,,,,
680,,,,,,,,,,,
681,,,,,,,,,,,
682,,,,,,,,,,,
683,,,,,,,,,,,
684,,,,,,,,,,,
685,,,,,,,,,,,
686,,,,,,,,,,,
687,,,,,,,,,,,
688,,,,,,,,,,,
689,,,,,,,,,,,
690,,,,,,,,,,,
691,259.0,,,,,,,,,,
692,361.0,,,,,,,,,,
693,486.0,,,,,,,,,,
694,279.0,,,,,,,,,,
695,419.0,,,,,,,,,,
696,654.0,,,,,,,,,,
697,839.0,,,,,,,,,,
698,958.0,,,,,,,,,,
699,1465.0,,,,,,,,,,
700,1516.0,,,,,,,,,,
701,1841.0,,,,,,,,,,
702,1227.0,,,,,,,,,,
703,943.0,,,,,,,,,,
704,724.0,,,,,,,,,,
705,712.0,,,,,,,,,,
706,713.0,,,,,,,,,,
707,633.0,,,,,,,,,,
708,565.0,,,,,,,,,,
709,639.0,,,,,,,,,,
710,673.0,,,,,,,,,,
711,699.0,,,,,,,,,,
